Teacher,Student,Pair,Method,SingleEq,gsm8k,MultiArith,AQuA,SVAMP,AddSub
Llama-3.1-8B,Llama-3.2-1B,Llama-3.1-8B -> Llama-3.2-1B,SFT,50.87575976012037,44.01061390126627,51.5630580071044,41.800345714308804,46.92456543783658,53.41109440948557
Llama-3.1-8B,Llama-3.2-1B,Llama-3.1-8B -> Llama-3.2-1B,KD,54.7681988185292,44.68414523810064,54.63638998431938,39.82657773196828,48.81033705486014,55.86048433573592
Llama-3.1-8B,Llama-3.2-3B,Llama-3.1-8B -> Llama-3.2-3B,SFT,52.56811184067522,47.633168941360445,56.93153360197113,42.84432283258568,48.91296393096386,54.09467505597546
Llama-3.1-8B,Llama-3.2-3B,Llama-3.1-8B -> Llama-3.2-3B,KD,56.830407910261314,49.482172585110185,58.638223139039944,44.804439225889126,51.826280586150254,58.1761553260009
Qwen2.5-14B,Qwen2.5-0.5B,Qwen2.5-14B -> Qwen2.5-0.5B,SFT,55.354859217292216,47.31209976850815,52.998167489096026,45.739745036612206,50.32253019731784,56.2902663186036
Qwen2.5-14B,Qwen2.5-0.5B,Qwen2.5-14B -> Qwen2.5-0.5B,KD,57.14702651594556,49.26525749304595,54.67745761627848,47.42549658388641,52.01815876748758,57.744399095886514
Qwen2.5-14B,Qwen2.5-1.5B,Qwen2.5-14B -> Qwen2.5-1.5B,SFT,57.94147376145534,50.146559429433566,56.374979815413575,44.76837353206222,52.51571407477393,58.65102516176546
Qwen2.5-14B,Qwen2.5-1.5B,Qwen2.5-14B -> Qwen2.5-1.5B,KD,58.52550395705342,51.262858236581486,56.38032162552036,46.722405456662194,54.01357438131467,58.78058946080452
Qwen2.5-14B,Qwen2.5-3B,Qwen2.5-14B -> Qwen2.5-3B,SFT,56.42540226752849,51.26004666058122,54.28384520554697,45.97095805060826,51.28231883739848,56.889481954145836
Qwen2.5-14B,Qwen2.5-3B,Qwen2.5-14B -> Qwen2.5-3B,KD,58.34942273485868,51.99931483101534,56.955396947571245,47.704057226496076,52.932873933889844,55.8780052983746
Qwen2.5-14B,Qwen2.5-7B,Qwen2.5-14B -> Qwen2.5-7B,SFT,59.503062459186154,53.48058601338994,59.025395275455594,47.533452737453324,53.67454359716069,58.9152499812571
Qwen2.5-14B,Qwen2.5-7B,Qwen2.5-14B -> Qwen2.5-7B,KD,59.67380633357835,55.367621842689886,59.88827637213559,50.99933791103932,56.02718960694031,59.062209097711225
Qwen2.5-3B,Qwen2.5-0.5B,Qwen2.5-3B -> Qwen2.5-0.5B,SFT,53.83624953806947,45.88015785295888,52.88424856482094,44.1699158394593,48.449517585746925,52.26216189997629
Qwen2.5-3B,Qwen2.5-0.5B,Qwen2.5-3B -> Qwen2.5-0.5B,KD,54.33150029291267,48.346253688834885,54.396473087428774,45.49187310042207,50.87592446876291,55.32797522068671
Qwen2.5-3B,Qwen2.5-1.5B,Qwen2.5-3B -> Qwen2.5-1.5B,SFT,55.447715030854624,48.84796543191492,54.353132928224326,42.56521449245113,49.52190531559329,55.08435858253677
Qwen2.5-3B,Qwen2.5-1.5B,Qwen2.5-3B -> Qwen2.5-1.5B,KD,56.125079169685044,50.380116547943445,54.68271762148854,44.241320939535875,51.82656209904886,57.379092913299104
Qwen2.5-7B,Qwen2.5-0.5B,Qwen2.5-7B -> Qwen2.5-0.5B,SFT,54.280633495199595,48.103783590900335,54.160789311462686,46.298774893313386,50.80833239292013,54.74239335239386
Qwen2.5-7B,Qwen2.5-0.5B,Qwen2.5-7B -> Qwen2.5-0.5B,KD,56.9483541220119,48.67042736332336,54.92985614716781,47.91472692751632,51.915430766290726,58.13949562403978
Qwen2.5-7B,Qwen2.5-1.5B,Qwen2.5-7B -> Qwen2.5-1.5B,SFT,56.551748714905195,50.56822474980566,56.463822769708784,45.652708275309145,52.45675315698486,56.04418520376635
Qwen2.5-7B,Qwen2.5-1.5B,Qwen2.5-7B -> Qwen2.5-1.5B,KD,59.04987026627395,51.74714118340592,57.87148331337144,47.53952163418599,54.35232984845736,59.88238984663514
Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B -> Qwen2.5-3B,SFT,55.33005454187078,51.240303833529225,55.72422078650787,46.476604810840755,51.27894508018078,54.463431744097214
Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B -> Qwen2.5-3B,KD,58.58383905471787,52.699805614821,57.197317706297376,48.62573197176908,53.445153818524446,58.54883048671247
