Teacher,Student,Pair,Method,SingleEq,gsm8k,MultiArith,AQuA,SVAMP,AddSub
Llama-3.1-8B,Llama-3.2-1B,Llama-3.1-8B -> Llama-3.2-1B,SFT,61.811023622047244,12.661106899166036,62.5,32.677165354330704,26.6,56.9620253164557
Llama-3.1-8B,Llama-3.2-1B,Llama-3.1-8B -> Llama-3.2-1B,KD,57.48031496062992,11.144806671721001,53.833333333333336,36.61417322834646,22.8,54.68354430379747
Llama-3.1-8B,Llama-3.2-3B,Llama-3.1-8B -> Llama-3.2-3B,SFT,81.49606299212599,34.420015163002276,86.66666666666667,36.22047244094488,46.7,81.77215189873418
Llama-3.1-8B,Llama-3.2-3B,Llama-3.1-8B -> Llama-3.2-3B,KD,79.7244094488189,34.57164518574678,83.5,32.28346456692913,46.7,80.75949367088607
Qwen2.5-14B,Qwen2.5-0.5B,Qwen2.5-14B -> Qwen2.5-0.5B,SFT,75.59055118110236,23.12357846853677,73.66666666666667,44.48818897637795,42.0,71.39240506329114
Qwen2.5-14B,Qwen2.5-0.5B,Qwen2.5-14B -> Qwen2.5-0.5B,KD,73.03149606299213,20.92494313874147,70.66666666666667,46.8503937007874,39.0,71.39240506329114
Qwen2.5-14B,Qwen2.5-1.5B,Qwen2.5-14B -> Qwen2.5-1.5B,SFT,86.41732283464567,46.24715693707354,87.5,42.91338582677165,62.0,81.77215189873418
Qwen2.5-14B,Qwen2.5-1.5B,Qwen2.5-14B -> Qwen2.5-1.5B,KD,87.00787401574803,43.745261561789235,87.66666666666667,40.55118110236221,62.3,83.54430379746836
Qwen2.5-14B,Qwen2.5-3B,Qwen2.5-14B -> Qwen2.5-3B,SFT,88.18897637795276,55.49658832448825,90.66666666666666,46.06299212598425,67.5,85.56962025316456
Qwen2.5-14B,Qwen2.5-3B,Qwen2.5-14B -> Qwen2.5-3B,KD,87.5984251968504,52.463987869598185,91.0,50.78740157480315,66.9,85.31645569620252
Qwen2.5-14B,Qwen2.5-7B,Qwen2.5-14B -> Qwen2.5-7B,SFT,92.1259842519685,64.13949962092495,94.5,48.4251968503937,73.1,89.36708860759494
Qwen2.5-14B,Qwen2.5-7B,Qwen2.5-14B -> Qwen2.5-7B,KD,93.11023622047244,63.153904473085674,95.5,49.21259842519685,74.3,87.0886075949367
Qwen2.5-3B,Qwen2.5-0.5B,Qwen2.5-3B -> Qwen2.5-0.5B,SFT,73.22834645669292,22.365428354814256,71.16666666666667,55.118110236220474,39.0,69.11392405063292
Qwen2.5-3B,Qwen2.5-0.5B,Qwen2.5-3B -> Qwen2.5-0.5B,KD,67.71653543307087,19.63608794541319,65.16666666666666,48.4251968503937,35.5,68.10126582278481
Qwen2.5-3B,Qwen2.5-1.5B,Qwen2.5-3B -> Qwen2.5-1.5B,SFT,82.48031496062993,40.78847611827142,85.16666666666667,41.732283464566926,57.8,79.49367088607595
Qwen2.5-3B,Qwen2.5-1.5B,Qwen2.5-3B -> Qwen2.5-1.5B,KD,84.64566929133859,40.48521607278241,85.66666666666667,34.645669291338585,57.599999999999994,80.75949367088607
Qwen2.5-7B,Qwen2.5-0.5B,Qwen2.5-7B -> Qwen2.5-0.5B,SFT,74.60629921259843,22.820318423047762,74.0,44.881889763779526,40.699999999999996,72.40506329113924
Qwen2.5-7B,Qwen2.5-0.5B,Qwen2.5-7B -> Qwen2.5-0.5B,KD,73.4251968503937,19.56027293404094,70.0,51.574803149606296,37.4,71.13924050632912
Qwen2.5-7B,Qwen2.5-1.5B,Qwen2.5-7B -> Qwen2.5-1.5B,SFT,86.61417322834646,44.04852160727824,87.16666666666667,36.61417322834646,62.1,81.51898734177216
Qwen2.5-7B,Qwen2.5-1.5B,Qwen2.5-7B -> Qwen2.5-1.5B,KD,87.4015748031496,44.124336618650496,87.5,35.826771653543304,61.6,82.78481012658227
Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B -> Qwen2.5-3B,SFT,87.00787401574803,53.60121304018196,90.0,47.63779527559055,65.8,84.81012658227847
Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B -> Qwen2.5-3B,KD,86.41732283464567,55.26914329037149,91.33333333333333,48.031496062992126,65.9,85.0632911392405
