Teacher,Student,Method,hellaswag,boolq,social_i_qa,piqa,ARC-Easy,ARC-Challenge,winogrande,openbookqa,Average
-,Qwen2.5-0.5B,BaseModel,3.22,20.21,3.07,8.27,2.48,2.22,6.24,1.6,5.91
-,Qwen2.5-1.5B,BaseModel,6.41,20.7,6.45,23.56,4.71,3.33,8.84,4.4,9.8
-,Qwen2.5-3B,BaseModel,12.33,41.38,28.66,35.91,22.43,17.58,27.94,24.2,26.3
-,Qwen2.5-7B,BaseModel,49.88,27.43,31.47,48.26,39.94,34.81,25.18,33.6,36.32
-,Qwen2.5-14B,BaseModel,54.59,19.69,33.27,48.37,39.31,38.57,41.52,30.0,38.16
-,Qwen2.5-0.5B,SFT,29.9,53.91,53.84,60.5,67.0,50.94,47.91,59.4,52.92
-,Qwen2.5-1.5B,SFT,63.9,61.28,63.25,76.93,85.4,72.18,59.51,75.0,69.68
-,Qwen2.5-3B,SFT,81.91,59.79,71.08,81.56,92.42,80.12,68.9,82.6,77.3
-,Qwen2.5-7B,SFT,91.19,66.76,74.72,87.81,94.61,87.8,74.35,89.4,83.33
-,Qwen2.5-14B,SFT,94.39,71.47,77.99,90.7,96.93,92.41,82.79,94.6,87.66
Qwen2.5-3B,Qwen2.5-0.5B,student_KD_temp_1.0,33.66,56.42,57.68,62.3,71.97,54.44,50.99,59.6,55.88
Qwen2.5-3B,Qwen2.5-0.5B,student_KD_temp_2.0,38.02,56.76,60.29,67.25,74.41,57.76,55.72,66.2,59.55
Qwen2.5-3B,Qwen2.5-0.5B,student_KD_temp_5.0,25.47,54.28,39.36,50.6,43.77,35.92,47.04,36.0,41.56
Qwen2.5-3B,Qwen2.5-0.5B,student_RevKD_temp_1.0,39.77,56.48,59.52,67.9,74.58,56.31,55.96,66.0,59.56
Qwen2.5-3B,Qwen2.5-0.5B,student_RevKD_temp_2.0,42.66,57.13,59.37,67.85,75.25,59.3,55.01,64.4,60.12
Qwen2.5-3B,Qwen2.5-0.5B,student_RevKD_temp_5.0,23.72,55.9,33.11,45.65,26.98,25.34,41.36,25.8,34.73
Qwen2.5-3B,Qwen2.5-0.5B,student_GKD_temp_1.0,36.45,58.75,58.96,66.87,74.41,56.4,44.2,63.6,57.45
Qwen2.5-3B,Qwen2.5-0.5B,student_KD_base_teacher_temp_1.0,17.39,42.17,23.69,37.16,16.79,14.08,32.6,16.4,25.04
Qwen2.5-3B,Qwen2.5-1.5B,student_KD_temp_1.0,66.68,59.3,56.45,78.24,82.28,71.84,63.3,72.6,68.84
Qwen2.5-3B,Qwen2.5-1.5B,student_KD_temp_2.0,72.93,61.8,70.37,79.11,88.93,75.94,64.09,84.6,74.72
Qwen2.5-3B,Qwen2.5-1.5B,student_KD_temp_5.0,36.19,57.25,60.03,72.03,78.32,60.75,48.78,67.4,60.09
Qwen2.5-3B,Qwen2.5-1.5B,student_RevKD_temp_1.0,11.07,40.8,2.1,0.44,2.27,2.56,22.73,2.4,10.55
Qwen2.5-3B,Qwen2.5-1.5B,student_RevKD_temp_2.0,16.72,50.83,66.53,50.6,84.47,69.88,56.43,77.8,59.16
Qwen2.5-3B,Qwen2.5-1.5B,student_RevKD_temp_5.0,37.61,58.99,58.6,72.03,75.0,56.91,48.78,63.0,58.86
Qwen2.5-3B,Qwen2.5-1.5B,student_GKD_temp_1.0,72.12,58.47,69.7,79.82,89.14,76.11,63.38,81.0,73.72
Qwen2.5-3B,Qwen2.5-1.5B,student_KD_base_teacher_temp_1.0,18.81,41.5,27.79,39.66,20.12,18.0,35.44,18.0,27.41
Qwen2.5-7B,Qwen2.5-0.5B,student_KD_temp_1.0,31.26,61.99,53.22,58.54,68.6,56.06,51.54,60.8,55.25
Qwen2.5-7B,Qwen2.5-0.5B,student_KD_temp_2.0,39.72,59.11,61.87,67.46,75.46,57.85,54.14,67.0,60.33
Qwen2.5-7B,Qwen2.5-0.5B,student_KD_temp_5.0,25.46,59.08,48.67,57.83,62.96,45.31,47.91,50.0,49.65
Qwen2.5-7B,Qwen2.5-0.5B,student_RevKD_temp_1.0,2.81,60.58,37.77,63.98,63.05,48.89,23.84,36.2,42.14
Qwen2.5-7B,Qwen2.5-0.5B,student_RevKD_temp_2.0,44.13,58.04,60.29,69.15,75.17,57.34,54.54,67.2,60.73
Qwen2.5-7B,Qwen2.5-0.5B,student_RevKD_temp_5.0,23.72,58.32,37.67,48.64,35.56,31.06,49.17,30.4,39.32
Qwen2.5-7B,Qwen2.5-0.5B,student_GKD_temp_1.0,39.42,55.72,60.8,66.87,74.49,54.61,51.54,65.4,58.61
Qwen2.5-7B,Qwen2.5-0.5B,student_KD_base_teacher_temp_1.0,14.73,18.72,19.81,34.44,24.75,15.87,17.84,19.4,20.7
Qwen2.5-7B,Qwen2.5-1.5B,student_KD_temp_1.0,70.71,60.67,66.22,73.56,87.71,73.21,54.3,81.0,70.92
Qwen2.5-7B,Qwen2.5-1.5B,student_KD_temp_2.0,66.62,53.88,68.42,71.76,87.42,71.84,64.88,76.6,70.18
Qwen2.5-7B,Qwen2.5-1.5B,student_KD_temp_5.0,38.54,60.52,62.69,75.73,83.8,65.44,49.72,72.2,63.58
Qwen2.5-7B,Qwen2.5-1.5B,student_RevKD_temp_1.0,0.94,9.97,16.27,8.11,31.9,31.48,5.92,35.0,17.45
Qwen2.5-7B,Qwen2.5-1.5B,student_RevKD_temp_2.0,33.73,52.39,10.39,37.05,15.07,18.17,53.75,15.2,29.47
Qwen2.5-7B,Qwen2.5-1.5B,student_RevKD_temp_5.0,27.76,60.52,61.77,73.67,82.83,63.57,49.72,70.8,61.33
Qwen2.5-7B,Qwen2.5-1.5B,student_GKD_temp_1.0,76.14,60.95,70.93,81.18,89.52,76.96,65.19,82.6,75.43
Qwen2.5-7B,Qwen2.5-1.5B,student_KD_base_teacher_temp_1.0,31.0,23.76,28.35,40.37,33.29,25.51,21.63,28.4,29.04
Qwen2.5-7B,Qwen2.5-3B,student_KD_temp_1.0,81.49,63.18,71.85,82.1,93.39,83.28,69.61,86.6,78.94
Qwen2.5-7B,Qwen2.5-3B,student_KD_temp_2.0,87.33,64.37,74.21,84.0,93.64,81.48,72.3,87.8,80.64
Qwen2.5-7B,Qwen2.5-3B,student_KD_temp_5.0,70.69,60.92,70.06,80.85,89.56,77.05,60.22,81.0,73.79
Qwen2.5-7B,Qwen2.5-3B,student_RevKD_temp_1.0,1.28,62.17,23.9,29.6,19.32,16.3,7.42,15.4,21.92
Qwen2.5-7B,Qwen2.5-3B,student_RevKD_temp_2.0,60.23,65.35,74.87,84.33,94.28,83.36,72.45,89.0,77.98
Qwen2.5-7B,Qwen2.5-3B,student_RevKD_temp_5.0,62.41,59.02,68.83,80.69,89.39,76.88,57.54,80.0,71.84
Qwen2.5-7B,Qwen2.5-3B,student_GKD_temp_1.0,11.67,57.92,74.67,81.12,93.52,82.25,71.35,85.6,69.76
Qwen2.5-7B,Qwen2.5-3B,student_KD_base_teacher_temp_1.0,29.82,21.71,27.79,37.7,32.91,28.84,21.39,24.4,28.07
Qwen2.5-14B,Qwen2.5-0.5B,student_KD_temp_1.0,29.13,60.52,54.91,61.86,71.09,53.75,51.7,61.8,55.59
Qwen2.5-14B,Qwen2.5-0.5B,student_RevKD_temp_1.0,37.27,26.79,57.88,64.04,72.52,55.55,53.75,65.2,54.12
Qwen2.5-14B,Qwen2.5-0.5B,student_GKD_temp_1.0,36.76,57.19,58.85,66.87,74.24,56.91,51.7,64.6,58.39
Qwen2.5-14B,Qwen2.5-1.5B,student_KD_temp_1.0,66.7,62.2,60.7,78.02,81.31,69.88,63.14,77.8,69.97
Qwen2.5-14B,Qwen2.5-1.5B,student_RevKD_temp_1.0,72.63,63.91,71.34,82.15,89.77,77.13,63.69,82.6,75.4
Qwen2.5-14B,Qwen2.5-1.5B,student_GKD_temp_1.0,76.59,62.42,71.14,80.63,88.8,77.22,64.33,81.8,75.37
Qwen2.5-14B,Qwen2.5-3B,student_KD_temp_1.0,78.64,63.15,72.88,82.64,92.89,82.25,72.14,85.6,78.77
Qwen2.5-14B,Qwen2.5-3B,student_RevKD_temp_1.0,86.09,65.14,75.84,84.17,93.52,83.62,72.14,85.8,80.79
Qwen2.5-14B,Qwen2.5-3B,student_GKD_temp_1.0,86.57,65.23,73.85,83.08,93.77,83.28,72.69,84.6,80.38
Qwen2.5-14B,Qwen2.5-7B,student_KD_temp_1.0,90.18,62.87,76.15,88.19,94.53,86.52,79.16,90.8,83.55
Qwen2.5-14B,Qwen2.5-7B,student_RevKD_temp_1.0,92.44,69.91,79.12,88.47,95.5,88.74,78.3,89.6,85.26
Qwen2.5-14B,Qwen2.5-7B,student_GKD_temp_1.0,92.6,68.93,77.38,87.81,95.2,87.88,78.77,90.6,84.9
