Teacher,Student,Method,hellaswag,boolq,social_i_qa,piqa,ARC-Easy,ARC-Challenge,winogrande,openbookqa,Average
-,Llama-3.2-1B,BaseModel,7.99,32.97,7.37,14.85,6.48,6.66,19.1,10.0,13.18
-,Llama-3.2-3B,BaseModel,7.48,24.8,9.67,21.38,8.04,5.97,20.05,6.8,13.02
-,Llama-3.1-8B,BaseModel,19.65,31.41,11.77,22.03,10.56,9.04,13.58,9.8,15.98
-,Llama-3.2-1B,SFT,27.37,54.4,49.74,55.6,59.6,40.87,48.22,48.4,48.02
-,Llama-3.2-3B,SFT,65.01,61.99,70.37,80.47,82.91,69.03,65.98,74.2,71.25
-,Llama-3.1-8B,SFT,88.89,69.33,73.03,85.26,90.15,81.66,76.87,82.8,81.0
Llama-3.1-8B,Llama-3.2-1B,student_KD_temp_1.0,29.83,54.4,57.83,62.02,65.49,47.35,52.17,57.8,53.36
Llama-3.1-8B,Llama-3.2-3B,student_KD_temp_1.0,71.69,62.11,70.52,80.63,83.67,72.61,70.8,76.4,73.55
Llama-3.1-8B,Llama-3.2-1B,student_GKD_temp_1.0,39.24,57.68,62.18,69.21,73.86,51.62,57.06,63.8,59.33
Llama-3.1-8B,Llama-3.2-3B,student_GKD_temp_1.0,80.83,64.31,73.8,81.94,85.94,74.15,69.46,78.6,76.13
Llama-3.1-8B,Llama-3.2-1B,student_RevKD_temp_1.0,39.52,58.87,64.38,70.35,74.71,52.65,59.35,65.6,60.68
Llama-3.1-8B,Llama-3.2-3B,student_RevKD_temp_1.0,78.08,66.7,73.08,83.3,86.11,72.61,70.56,78.2,76.08
