Teacher,Student,Method,gsm8k,SVAMP,MultiArith,SingleEq,AddSub,AQuA,Average
-,Llama-3.2-1B,BaseModel,2.12,5.9,2.83,8.46,7.09,21.65,8.01
-,Llama-3.2-3B,BaseModel,3.87,11.6,12.17,22.05,15.19,20.87,14.29
-,Llama-3.1-8B,BaseModel,5.16,16.3,16.5,24.8,24.56,10.24,16.26
-,Llama-3.2-1B,SFT,12.36,29.4,64.0,63.78,63.04,19.29,41.98
-,Llama-3.2-3B,SFT,39.5,53.2,90.67,86.61,86.33,23.62,63.32
-,Llama-3.1-8B,SFT,58.83,69.1,94.5,91.93,85.32,29.92,71.6
Llama-3.1-8B,Llama-3.2-1B,student_KD_temp_1.0,14.33,29.5,73.17,64.76,69.87,21.26,45.48
Llama-3.1-8B,Llama-3.2-3B,student_KD_temp_1.0,38.21,55.7,91.67,87.99,85.57,22.05,63.53
Llama-3.1-8B,Llama-3.2-1B,student_GKD_temp_1.0,21.68,41.7,86.33,76.77,76.46,21.26,54.03
Llama-3.1-8B,Llama-3.2-3B,student_GKD_temp_1.0,45.72,61.1,94.33,90.94,85.06,24.8,66.99
Llama-3.1-8B,Llama-3.2-1B,student_RevKD_temp_1.0,20.77,36.3,77.67,69.69,71.65,24.02,50.02
Llama-3.1-8B,Llama-3.2-3B,student_RevKD_temp_1.0,45.34,60.8,90.83,88.58,85.57,24.8,65.99
