Teacher,Student,Method,gsm8k,SVAMP,MultiArith,SingleEq,AddSub,AQuA,Average
-,Qwen2.5-0.5B,BaseModel,6.82,18.1,20.67,33.27,23.54,18.11,20.09
-,Qwen2.5-1.5B,BaseModel,21.83,36.8,47.33,53.94,57.47,27.95,40.89
-,Qwen2.5-3B,BaseModel,27.52,42.8,54.17,58.86,60.76,26.77,45.15
-,Qwen2.5-7B,BaseModel,45.11,66.5,69.67,74.41,79.24,32.28,61.2
-,Qwen2.5-14B,BaseModel,51.55,64.7,63.83,72.64,73.92,32.28,59.82
-,Qwen2.5-0.5B,SFT,23.5,41.9,76.17,77.17,74.68,23.62,52.84
-,Qwen2.5-1.5B,SFT,49.05,66.6,89.83,89.17,84.56,25.98,67.53
-,Qwen2.5-3B,SFT,59.29,71.8,92.67,89.57,84.81,30.71,71.47
-,Qwen2.5-7B,SFT,69.98,80.2,96.83,94.88,91.14,33.86,77.81
-,Qwen2.5-14B,SFT,75.36,82.3,96.17,94.69,89.37,38.19,79.35
Qwen2.5-3B_ckpt2400,Qwen2.5-0.5B,student_KD_temp_1.0,27.45,43.9,82.5,79.13,78.23,24.02,55.87
Qwen2.5-3B_ckpt2400,Qwen2.5-0.5B,student_KD_temp_2.0,32.9,48.5,83.17,85.43,78.99,24.41,58.9
Qwen2.5-3B,Qwen2.5-0.5B,student_KD_temp_5.0,2.2,6.66,9.67,8.07,7.85,15.35,8.3
Qwen2.5-3B,Qwen2.5-0.5B,student_RevKD_temp_1.0,32.75,50.7,82.5,82.09,81.52,29.13,59.78
Qwen2.5-3B,Qwen2.5-0.5B,student_RevKD_temp_2.0,29.72,49.3,82.17,82.48,80.0,27.56,58.54
Qwen2.5-3B,Qwen2.5-0.5B,student_RevKD_temp_5.0,1.52,4.61,3.32,1.38,1.77,16.14,4.79
Qwen2.5-3B,Qwen2.5-0.5B,student_GKD_temp_1.0,29.04,47.0,84.33,83.27,76.96,21.65,57.04
Qwen2.5-3B,Qwen2.5-0.5B,student_KD_base_teacher_temp_1.0,8.72,21.8,31.0,40.55,40.51,19.29,26.98
Qwen2.5-3B,Qwen2.5-1.5B,student_KD_temp_1.0,42.61,63.8,86.67,87.8,82.53,27.17,65.1
Qwen2.5-3B,Qwen2.5-1.5B,student_KD_temp_2.0,47.01,64.4,91.17,87.4,83.29,28.35,66.94
Qwen2.5-3B,Qwen2.5-1.5B,student_KD_temp_5.0,12.89,30.21,59.0,45.69,46.84,20.47,35.85
Qwen2.5-3B,Qwen2.5-1.5B,student_RevKD_temp_1.0,53.37,68.8,92.17,91.14,84.81,33.46,70.62
Qwen2.5-3B,Qwen2.5-1.5B,student_RevKD_temp_2.0,49.2,67.4,91.67,92.32,85.32,29.92,69.31
Qwen2.5-3B,Qwen2.5-1.5B,student_RevKD_temp_5.0,6.6,21.09,34.17,21.9,28.35,18.5,21.77
Qwen2.5-3B,Qwen2.5-1.5B,student_GKD_temp_1.0,48.14,64.7,91.67,91.34,86.08,29.92,68.64
Qwen2.5-3B,Qwen2.5-1.5B,student_KD_base_teacher_temp_1.0,17.82,32.7,45.5,48.03,53.92,24.8,37.13
Qwen2.5-7B,Qwen2.5-0.5B,student_KD_temp_1.0,27.37,46.6,83.67,81.3,76.71,25.59,56.87
Qwen2.5-7B,Qwen2.5-0.5B,student_KD_temp_2.0,32.9,53.0,90.5,84.45,82.53,23.23,61.1
Qwen2.5-7B,Qwen2.5-0.5B,student_KD_temp_5.0,8.26,19.66,40.0,34.48,32.41,16.14,25.16
Qwen2.5-7B,Qwen2.5-0.5B,student_RevKD_temp_1.0,35.18,54.7,88.67,88.39,85.57,25.98,63.08
Qwen2.5-7B,Qwen2.5-0.5B,student_RevKD_temp_2.0,36.77,55.1,89.0,86.81,83.04,25.59,62.72
Qwen2.5-7B,Qwen2.5-0.5B,student_RevKD_temp_5.0,1.44,4.43,2.31,0.39,0.76,8.66,3.0
